Name,FileName,BitDepth,Format,FrameRate,0,width,height,Frames,Level
basketballdrilltext,BasketballDrillText_832x480_50.yuv,8,420,50,0,832,480,500,3.1
chinaspeed,ChinaSpeed_1024x768_30.yuv,8,420,30,0,1024,768,500,3.1
slideediting,SlideEditing_1280x720_30.yuv,8,420,30,0,1280,720,300,3.1
slideshow,SlideShow_1280x720_20.yuv,8,420,20,0,1280,720,500,3.1
traffic,Traffic_2560x1600_30_crop.yuv,8,420,30,0,2560,1600,150,5
peopleonstreet,PeopleOnStreet_2560x1600_30_crop.yuv,8,420,30,0,2560,1600,150,5
nebuta,NebutaFestival_2560x1600_60_10bit_crop.yuv,10,420,60,0,2560,1600,300,5
steamlocomotive,SteamLocomotiveTrain_2560x1600_60_10bit_crop.yuv,10,420,60,0,2560,1600,300,5
kimono,Kimono1_1920x1080_24.yuv,8,420,24,0,1920,1080,240,4
parkscene,ParkScene_1920x1080_24.yuv,8,420,24,0,1920,1080,240,4
arenaofvalor,ArenaOfValor_1920x1080_60_8bit_420.yuv,8,420,60,0,1920,1080,600,4.1
